ID,SymbolValue,XCoord,YCoord,
coh10-28-1921,Canyon of Hero Marker,40.7050018,-74.0139999,
coh10-5-1923,Canyon of Hero Marker,40.705101,-74.0139999,
coh2-16-1926,Canyon of Hero Marker,40.7052002,-74.0139008,
coh6-23-1926,Canyon of Hero Marker,40.7052994,-74.0138016,
coh10-18-1926,Canyon of Hero Marker,40.7055016,-74.0137024,
coh7-18-1927,Canyon of Hero Marker,40.7056007,-74.0136032,
coh7-6-1928,Canyon of Hero Marker,40.7056999,-74.0134964,
coh1-28-1929,Canyon of Hero Marker,40.7056999,-74.0134964,
coh4-29-1930,Canyon of Hero Marker,40.7057991,-74.0134964,
coh6-18-1930,Canyon of Hero Marker,40.7057991,-74.0133972,
coh9-3-1930,Canyon of Hero Marker,40.7060013,-74.0131989,
coh9-2-1931,Canyon of Hero Marker,40.7060013,-74.0131989,
coh10-26-1931,Canyon of Hero Marker,40.7061005,-74.0131989,
coh6-20-1932,Canyon of Hero Marker,40.7061996,-74.0130997,
coh7-21-1933,Canyon of Hero Marker,40.7061996,-74.0130997,
coh7-15-1938,Canyon of Hero Marker,40.7062988,-74.0130005,
coh8-5-1938,Canyon of Hero Marker,40.7062988,-74.0130005,
coh5-1-1939,Canyon of Hero Marker,40.7064018,-74.0129013,
coh8-27-1945,Canyon of Hero Marker,40.7064018,-74.0129013,
coh10-9-1945,Canyon of Hero Marker,40.706501,-74.0128021,
coh12-14-1945,Canyon of Hero Marker,40.706501,-74.0128021,
coh10-23-1946,Canyon of Hero Marker,40.7066002,-74.0127029,
coh2-7-1947,Canyon of Hero Marker,40.7066002,-74.0127029,
coh5-2-1947,Canyon of Hero Marker,40.7066994,-74.0127029,
coh7-7-1948,Canyon of Hero Marker,40.7069016,-74.0124969,
coh5-23-1949,Canyon of Hero Marker,40.7069016,-74.0124969,
coh8-11-1949,Canyon of Hero Marker,40.7070007,-74.0123978,
coh8-19-1949,Canyon of Hero Marker,40.7070999,-74.0122986,
coh9-16-1949,Canyon of Hero Marker,40.7071991,-74.0122986,
coh10-17-1949,Canyon of Hero Marker,40.7071991,-74.0121994,
coh4-17-1950,Canyon of Hero Marker,40.7072983,-74.0121994,
coh5-9-1950,Canyon of Hero Marker,40.7072983,-74.0121994,
coh5-10-1950,Canyon of Hero Marker,40.7072983,-74.0121002,
coh8-4-1950,Canyon of Hero Marker,40.7074013,-74.0121002,
coh4-20-1951,Canyon of Hero Marker,40.7075996,-74.012001,
coh5-24-1951,Canyon of Hero Marker,40.7075996,-74.0119019,
